instance,divisor,cost
5/prob5b/a/density_0.1.json,10,3667
5/prob5b/a/density_0.5.json,2,3844
5/prob5b/a/density_0.5.json,4,3844
5/prob5b/a/density_0.5.json,6,3844
5/prob5b/a/density_0.5.json,8,4139
5/prob5b/a/density_0.5.json,10,4139
5/prob5b/a/density_0.25.json,2,3844
5/prob5b/a/density_0.25.json,4,3844
5/prob5b/a/density_0.25.json,6,3844
5/prob5b/a/density_0.25.json,8,4139
5/prob5b/a/density_0.25.json,10,4139
5/prob5b/a/density_0.75.json,2,3844
5/prob5b/a/density_0.75.json,4,3677
5/prob5b/a/density_0.75.json,6,3677
5/prob5b/a/density_0.75.json,8,3930
5/prob5b/a/density_0.75.json,10,3930
5/prob5b/a/density_0.json,2,2565
5/prob5b/a/density_0.json,4,2734
5/prob5b/a/density_0.json,6,2734
5/prob5b/a/density_0.json,8,2734
5/prob5b/a/density_0.json,10,2734
5/prob5b/b/density_0.1.json,2,3804
5/prob5b/b/density_0.1.json,4,3834
5/prob5b/b/density_0.1.json,6,3834
5/prob5b/b/density_0.1.json,8,3667
5/prob5b/b/density_0.1.json,10,3667
5/prob5b/b/density_0.5.json,2,3913
5/prob5b/b/density_0.5.json,4,3913
5/prob5b/b/density_0.5.json,6,3913
5/prob5b/b/density_0.5.json,8,4139
5/prob5b/b/density_0.5.json,10,4139
5/prob5b/b/density_0.25.json,2,3913
5/prob5b/b/density_0.25.json,4,3913
5/prob5b/b/density_0.25.json,6,3913
5/prob5b/b/density_0.25.json,8,3667
5/prob5b/b/density_0.25.json,10,3667
5/prob5b/b/density_0.75.json,2,3913
5/prob5b/b/density_0.75.json,4,3913
5/prob5b/b/density_0.75.json,6,3913
5/prob5b/b/density_0.75.json,8,3706
5/prob5b/b/density_0.75.json,10,3706
5/prob5b/b/density_0.json,2,2565
5/prob5b/b/density_0.json,4,2734
5/prob5b/b/density_0.json,6,2734
5/prob5b/b/density_0.json,8,2734
5/prob5b/b/density_0.json,10,2734
5/prob5b/c/density_0.1.json,2,2570
5/prob5b/c/density_0.1.json,4,2750
5/prob5b/c/density_0.1.json,6,2750
5/prob5b/c/density_0.1.json,8,2750
5/prob5b/c/density_0.1.json,10,2750
5/prob5b/c/density_0.5.json,2,3683
5/prob5b/c/density_0.5.json,4,3012
5/prob5b/c/density_0.5.json,6,3012
5/prob5b/c/density_0.5.json,8,3012
5/prob5b/c/density_0.5.json,10,3012
5/prob5b/c/density_0.25.json,2,3683
5/prob5b/c/density_0.25.json,4,2662
5/prob5b/c/density_0.25.json,6,2662
5/prob5b/c/density_0.25.json,8,2750
5/prob5b/c/density_0.25.json,10,2750
5/prob5b/c/density_0.75.json,2,3012
5/prob5b/c/density_0.75.json,4,3012
5/prob5b/c/density_0.75.json,6,3012
5/prob5b/c/density_0.75.json,8,3128
5/prob5b/c/density_0.75.json,10,3128
5/prob5b/c/density_0.json,2,2565
5/prob5b/c/density_0.json,4,2734
5/prob5b/c/density_0.json,6,2734
5/prob5b/c/density_0.json,8,2734
5/prob5b/c/density_0.json,10,2734
5/prob5b/d/density_0.1.json,2,2657
5/prob5b/d/density_0.1.json,4,2734
5/prob5b/d/density_0.1.json,6,2734
5/prob5b/d/density_0.1.json,8,2734
5/prob5b/d/density_0.1.json,10,2734
5/prob5b/d/density_0.5.json,2,3513
5/prob5b/d/density_0.5.json,4,3114
5/prob5b/d/density_0.5.json,6,3114
5/prob5b/d/density_0.5.json,8,3114
5/prob5b/d/density_0.5.json,10,3114
5/prob5b/d/density_0.25.json,2,3452
5/prob5b/d/density_0.25.json,4,2657
5/prob5b/d/density_0.25.json,6,2657
5/prob5b/d/density_0.25.json,8,2734
5/prob5b/d/density_0.25.json,10,2734
5/prob5b/d/density_0.75.json,2,3930
5/prob5b/d/density_0.75.json,4,3930
5/prob5b/d/density_0.75.json,6,3930
5/prob5b/d/density_0.75.json,8,3930
5/prob5b/d/density_0.75.json,10,3930
5/prob5b/d/density_0.json,2,2565
5/prob5b/d/density_0.json,4,2734
5/prob5b/d/density_0.json,6,2734
5/prob5b/d/density_0.json,8,2734
5/prob5b/d/density_0.json,10,2734
5/prob5b/e/density_0.1.json,2,3003
5/prob5b/e/density_0.1.json,4,3012
5/prob5b/e/density_0.1.json,6,3012
5/prob5b/e/density_0.1.json,8,3012
5/prob5b/e/density_0.1.json,10,3012
5/prob5b/e/density_0.5.json,2,3913
5/prob5b/e/density_0.5.json,4,3913
5/prob5b/e/density_0.5.json,6,3913
5/prob5b/e/density_0.5.json,8,3913
5/prob5b/e/density_0.5.json,10,3913
5/prob5b/e/density_0.25.json,2,3834
5/prob5b/e/density_0.25.json,4,3834
5/prob5b/e/density_0.25.json,6,3834
5/prob5b/e/density_0.25.json,8,4139
5/prob5b/e/density_0.25.json,10,4139
5/prob5b/e/density_0.75.json,2,3913
5/prob5b/e/density_0.75.json,4,3913
5/prob5b/e/density_0.75.json,6,3913
5/prob5b/e/density_0.75.json,8,3913
5/prob5b/e/density_0.75.json,10,3913
5/prob5b/e/density_0.json,2,2565
5/prob5b/e/density_0.json,4,2734
5/prob5b/e/density_0.json,6,2734
5/prob5b/e/density_0.json,8,2734
5/prob5b/e/density_0.json,10,2734
5/prob5c/a/density_0.1.json,2,4996
5/prob5c/a/density_0.1.json,4,4451
5/prob5c/a/density_0.1.json,6,4451
5/prob5c/a/density_0.1.json,8,4715
5/prob5c/a/density_0.1.json,10,4715
5/prob5c/a/density_0.5.json,2,5924
5/prob5c/a/density_0.5.json,4,5924
5/prob5c/a/density_0.5.json,6,5967
5/prob5c/a/density_0.5.json,8,5967
5/prob5c/a/density_0.5.json,10,5967
5/prob5c/a/density_0.25.json,2,4667
5/prob5c/a/density_0.25.json,4,4667
5/prob5c/a/density_0.25.json,6,4667
5/prob5c/a/density_0.25.json,8,4667
5/prob5c/a/density_0.25.json,10,4667
5/prob5c/a/density_0.75.json,2,5924
5/prob5c/a/density_0.75.json,4,5924
5/prob5c/a/density_0.75.json,6,5967
5/prob5c/a/density_0.75.json,8,5967
5/prob5c/a/density_0.75.json,10,5967
5/prob5c/a/density_0.json,2,3787
5/prob5c/a/density_0.json,4,3787
5/prob5c/a/density_0.json,6,3787
5/prob5c/a/density_0.json,8,3837
5/prob5c/a/density_0.json,10,3837
5/prob5c/b/density_0.1.json,2,4996
5/prob5c/b/density_0.1.json,4,4451
5/prob5c/b/density_0.1.json,6,4451
5/prob5c/b/density_0.1.json,8,4715
5/prob5c/b/density_0.1.json,10,4715
5/prob5c/b/density_0.5.json,2,5642
5/prob5c/b/density_0.5.json,4,5642
