Instancia,%Inc,Numero iteracion,Costo de iteracion
/5/prob5b/e,0,2,3930
/5/prob5c/a,0.1,0,6888
/5/prob5c/a,0.1,1,6129
/5/prob5c/a,0.1,2,6108
/5/prob5c/a,0.5,0,6888
/5/prob5c/a,0.5,1,6129
/5/prob5c/a,0.5,2,6108
/5/prob5c/a,0.25,0,6888
/5/prob5c/a,0.25,1,6129
/5/prob5c/a,0.25,2,6108
/5/prob5c/a,0.75,0,6888
/5/prob5c/a,0.75,1,6129
/5/prob5c/a,0.75,2,6108
/5/prob5c/a,0,0,6888
/5/prob5c/a,0,1,6129
/5/prob5c/a,0,2,6108
/5/prob5c/b,0.1,0,6888
/5/prob5c/b,0.1,1,6129
/5/prob5c/b,0.1,2,6108
/5/prob5c/b,0.5,0,6888
/5/prob5c/b,0.5,1,6129
/5/prob5c/b,0.5,2,6108
/5/prob5c/b,0.25,0,6888
/5/prob5c/b,0.25,1,6129
/5/prob5c/b,0.25,2,6108
/5/prob5c/b,0.75,0,6888
/5/prob5c/b,0.75,1,6129
/5/prob5c/b,0.75,2,6108
/5/prob5c/b,0,0,6888
/5/prob5c/b,0,1,6129
/5/prob5c/b,0,2,6108
/5/prob5c/c,0.1,0,6888
/5/prob5c/c,0.1,1,6129
/5/prob5c/c,0.1,2,6108
/5/prob5c/c,0.5,0,6888
/5/prob5c/c,0.5,1,6129
/5/prob5c/c,0.5,2,6108
/5/prob5c/c,0.25,0,6888
/5/prob5c/c,0.25,1,6129
/5/prob5c/c,0.25,2,6108
/5/prob5c/c,0.75,0,6888
/5/prob5c/c,0.75,1,6129
/5/prob5c/c,0.75,2,6108
/5/prob5c/c,0,0,6888
/5/prob5c/c,0,1,6129
/5/prob5c/c,0,2,6108
/5/prob5c/d,0.1,0,6888
/5/prob5c/d,0.1,1,6129
/5/prob5c/d,0.1,2,6108
/5/prob5c/d,0.5,0,6888
/5/prob5c/d,0.5,1,6129
/5/prob5c/d,0.5,2,6108
/5/prob5c/d,0.25,0,6888
/5/prob5c/d,0.25,1,6129
/5/prob5c/d,0.25,2,6108
/5/prob5c/d,0.75,0,6888
/5/prob5c/d,0.75,1,6129
/5/prob5c/d,0.75,2,6108
/5/prob5c/d,0,0,6888
/5/prob5c/d,0,1,6129
/5/prob5c/d,0,2,6108
/5/prob5c/e,0.1,0,6888
/5/prob5c/e,0.1,1,6129
/5/prob5c/e,0.1,2,6108
/5/prob5c/e,0.5,0,6888
/5/prob5c/e,0.5,1,6129
/5/prob5c/e,0.5,2,6108
/5/prob5c/e,0.25,0,6888
/5/prob5c/e,0.25,1,6129
/5/prob5c/e,0.25,2,6108
/5/prob5c/e,0.75,0,6888
/5/prob5c/e,0.75,1,6129
/5/prob5c/e,0.75,2,6108
/5/prob5c/e,0,0,6888
/5/prob5c/e,0,1,6129
/5/prob5c/e,0,2,6108
/5/prob5d/a,0.1,0,4599
/5/prob5d/a,0.1,1,4408
/5/prob5d/a,0.1,2,3846
/5/prob5d/a,0.5,0,4599
/5/prob5d/a,0.5,1,4408
/5/prob5d/a,0.5,2,3846
/5/prob5d/a,0.25,0,4599
/5/prob5d/a,0.25,1,4408
/5/prob5d/a,0.25,2,3846
/5/prob5d/a,0.75,0,4599
/5/prob5d/a,0.75,1,4408
/5/prob5d/a,0.75,2,3846
/5/prob5d/a,0,0,4599
/5/prob5d/a,0,1,4408
/5/prob5d/a,0,2,3846
/5/prob5d/b,0.1,0,4599
/5/prob5d/b,0.1,1,4408
/5/prob5d/b,0.1,2,3846
/5/prob5d/b,0.5,0,4599
/5/prob5d/b,0.5,1,4408
/5/prob5d/b,0.5,2,3846
/5/prob5d/b,0.25,0,4599
/5/prob5d/b,0.25,1,4408
/5/prob5d/b,0.25,2,3846
/5/prob5d/b,0.75,0,4599
/5/prob5d/b,0.75,1,4408
/5/prob5d/b,0.75,2,3846
/5/prob5d/b,0,0,4599
/5/prob5d/b,0,1,4408
/5/prob5d/b,0,2,3846
/5/prob5d/c,0.1,0,4599
/5/prob5d/c,0.1,1,4408
/5/prob5d/c,0.1,2,3846
/5/prob5d/c,0.5,0,4599
/5/prob5d/c,0.5,1,4408
/5/prob5d/c,0.5,2,3846
/5/prob5d/c,0.25,0,4599
/5/prob5d/c,0.25,1,4408
/5/prob5d/c,0.25,2,3846
/5/prob5d/c,0.75,0,4599
/5/prob5d/c,0.75,1,4408
/5/prob5d/c,0.75,2,3846
/5/prob5d/c,0,0,4599
/5/prob5d/c,0,1,4408
/5/prob5d/c,0,2,3846
/5/prob5d/d,0.1,0,4599
/5/prob5d/d,0.1,1,4408
/5/prob5d/d,0.1,2,3846
/5/prob5d/d,0.5,0,4599
/5/prob5d/d,0.5,1,4408
/5/prob5d/d,0.5,2,3846
/5/prob5d/d,0.25,0,4599
/5/prob5d/d,0.25,1,4408
/5/prob5d/d,0.25,2,3846
/5/prob5d/d,0.75,0,4599
/5/prob5d/d,0.75,1,4408
/5/prob5d/d,0.75,2,3846
/5/prob5d/d,0,0,4599
/5/prob5d/d,0,1,4408
/5/prob5d/d,0,2,3846
/5/prob5d/e,0.1,0,4599
/5/prob5d/e,0.1,1,4408
/5/prob5d/e,0.1,2,3846
/5/prob5d/e,0.5,0,4599
/5/prob5d/e,0.5,1,4408
/5/prob5d/e,0.5,2,3846
/5/prob5d/e,0.25,0,4599
/5/prob5d/e,0.25,1,4408
/5/prob5d/e,0.25,2,3846
/5/prob5d/e,0.75,0,4599
/5/prob5d/e,0.75,1,4408
/5/prob5d/e,0.75,2,3846
/5/prob5d/e,0,0,4599
/5/prob5d/e,0,1,4408
/5/prob5d/e,0,2,3846
/5/prob5e/a,0.1,0,4771
/5/prob5e/a,0.1,1,3585
/5/prob5e/a,0.5,0,4771
/5/prob5e/a,0.5,1,3585
/5/prob5e/a,0.25,0,4771
/5/prob5e/a,0.25,1,3585
/5/prob5e/a,0.75,0,4771
/5/prob5e/a,0.75,1,3585
/5/prob5e/a,0,0,4771
/5/prob5e/a,0,1,3585
/5/prob5e/b,0.1,0,4771
/5/prob5e/b,0.1,1,3585
/5/prob5e/b,0.5,0,4771
/5/prob5e/b,0.5,1,3585
/5/prob5e/b,0.25,0,4771
/5/prob5e/b,0.25,1,3585
/5/prob5e/b,0.75,0,4771
/5/prob5e/b,0.75,1,3585
/5/prob5e/b,0,0,4771
/5/prob5e/b,0,1,3585
/5/prob5e/c,0.1,0,4771
/5/prob5e/c,0.1,1,3585
/5/prob5e/c,0.5,0,4771
/5/prob5e/c,0.5,1,3585
/5/prob5e/c,0.25,0,4771
