Instancia,%Inc,Numero iteracion,Costo de iteracion,Tiempo total
/5/prob5a/a,0.1,0,6681,0.006488800048828125
/5/prob5a/a,0.1,1,6681,0.006488800048828125
/5/prob5a/a,0.5,0,6323,0.006018638610839844
/5/prob5a/a,0.5,1,4995,0.006018638610839844
/5/prob5a/a,0.5,2,4995,0.006018638610839844
/5/prob5a/a,0.25,0,6489,0.006947040557861328
/5/prob5a/a,0.25,1,5673,0.006947040557861328
/5/prob5a/a,0.25,2,5673,0.006947040557861328
/5/prob5a/a,0.75,0,6323,0.006012678146362305
/5/prob5a/a,0.75,1,4995,0.006012678146362305
/5/prob5a/a,0.75,2,4995,0.006012678146362305
/5/prob5a/a,0,0,6681,0.006012678146362305
/5/prob5a/a,0,1,6681,0.006012678146362305
/5/prob5a/b,0.1,0,6681,0.00096893310546875
/5/prob5a/b,0.1,1,6681,0.00096893310546875
/5/prob5a/b,0.5,0,6165,0.006011009216308594
/5/prob5a/b,0.5,1,6165,0.006011009216308594
/5/prob5a/b,0.25,0,6165,0.005994319915771484
/5/prob5a/b,0.25,1,6165,0.005994319915771484
/5/prob5a/b,0.75,0,6589,0.005982160568237305
/5/prob5a/b,0.75,1,6589,0.005982160568237305
/5/prob5a/b,0,0,6681,0.0
/5/prob5a/b,0,1,6681,0.0
/5/prob5a/c,0.1,0,6681,0.005983829498291016
/5/prob5a/c,0.1,1,6681,0.005983829498291016
/5/prob5a/c,0.5,0,6505,0.005984067916870117
/5/prob5a/c,0.5,1,5698,0.005984067916870117
/5/prob5a/c,0.5,2,5698,0.005984067916870117
/5/prob5a/c,0.25,0,6627,0.0059778690338134766
/5/prob5a/c,0.25,1,6627,0.0059778690338134766
/5/prob5a/c,0.75,0,6526,0.006011486053466797
/5/prob5a/c,0.75,1,5719,0.006011486053466797
/5/prob5a/c,0.75,2,5111,0.006011486053466797
/5/prob5a/c,0.75,3,5111,0.006011486053466797
/5/prob5a/c,0,0,6681,0.0009996891021728516
/5/prob5a/c,0,1,6681,0.0009996891021728516
/5/prob5a/d,0.1,0,6627,0.005983591079711914
/5/prob5a/d,0.1,1,6627,0.005983591079711914
/5/prob5a/d,0.5,0,6747,0.005984306335449219
/5/prob5a/d,0.5,1,5999,0.005984306335449219
/5/prob5a/d,0.5,2,5999,0.005984306335449219
/5/prob5a/d,0.25,0,6627,0.004986763000488281
/5/prob5a/d,0.25,1,6627,0.004986763000488281
/5/prob5a/d,0.75,0,6603,0.005984067916870117
/5/prob5a/d,0.75,1,5638,0.005984067916870117
/5/prob5a/d,0.75,2,5638,0.005984067916870117
/5/prob5a/d,0,0,6681,0.000997781753540039
/5/prob5a/d,0,1,6681,0.000997781753540039
/5/prob5a/e,0.1,0,6165,0.006587505340576172
/5/prob5a/e,0.1,1,6165,0.006587505340576172
/5/prob5a/e,0.5,0,6658,0.005878448486328125
/5/prob5a/e,0.5,1,5777,0.005878448486328125
/5/prob5a/e,0.5,2,5777,0.005878448486328125
/5/prob5a/e,0.25,0,6635,0.0059833526611328125
/5/prob5a/e,0.25,1,6635,0.0059833526611328125
/5/prob5a/e,0.75,0,6658,0.00598597526550293
/5/prob5a/e,0.75,1,5777,0.00598597526550293
/5/prob5a/e,0.75,2,5777,0.00598597526550293
/5/prob5a/e,0,0,6681,0.0015368461608886719
/5/prob5a/e,0,1,6681,0.0015368461608886719
/5/prob5b/a,0.1,0,5277,0.005983829498291016
/5/prob5b/a,0.1,1,5277,0.005983829498291016
/5/prob5b/a,0.5,0,6162,0.005984783172607422
/5/prob5b/a,0.5,1,3996,0.005984783172607422
/5/prob5b/a,0.5,2,3996,0.005984783172607422
/5/prob5b/a,0.25,0,6497,0.005986213684082031
/5/prob5b/a,0.25,1,4852,0.005986213684082031
/5/prob5b/a,0.25,2,4852,0.005986213684082031
/5/prob5b/a,0.75,0,6162,0.006982564926147461
/5/prob5b/a,0.75,1,3996,0.006982564926147461
/5/prob5b/a,0.75,2,3996,0.006982564926147461
/5/prob5b/a,0,0,5277,0.006980180740356445
/5/prob5b/a,0,1,5277,0.006980180740356445
/5/prob5b/b,0.1,0,5277,0.0009980201721191406
/5/prob5b/b,0.1,1,5277,0.0009980201721191406
/5/prob5b/b,0.5,0,6070,0.005984783172607422
/5/prob5b/b,0.5,1,6070,0.005984783172607422
/5/prob5b/b,0.25,0,6070,0.00498652458190918
